name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,openIssues,closedIssues,stars
stable-diffusion,CompVis,2022-08-10T14:36:44Z,2025-08-11T15:20:26Z,Jupyter Notebook,5,0,531,195,71301
markitdown,microsoft,2024-11-13T19:56:40Z,2025-08-11T19:44:04Z,Python,147,14,249,69,70937
screenshot-to-code,abi,2023-11-14T17:53:32Z,2025-08-11T18:56:34Z,Python,49,0,100,276,70573
Front-End-Checklist,thedaviddias,2017-10-16T10:12:36Z,2025-08-11T10:25:05Z,None,179,1,1,147,70514
moby,moby,2013-01-18T18:10:57Z,2025-08-11T17:02:02Z,Go,21432,237,3181,19924,70455
redis,redis,2009-03-21T22:32:25Z,2025-08-11T15:47:35Z,C,4150,95,2145,4624,70396
flask,pallets,2010-04-06T11:11:59Z,2025-08-11T15:51:39Z,Python,1604,36,6,2686,70152
Ventoy,ventoy,2020-03-10T15:19:19Z,2025-08-11T19:50:44Z,C,280,103,925,1597,69763
clash-verge-rev,clash-verge-rev,2023-11-21T18:24:03Z,2025-08-11T20:03:07Z,TypeScript,303,49,81,3631,69617
cs-video-courses,Developer-Y,2016-10-21T17:02:11Z,2025-08-11T15:46:46Z,None,234,0,0,0,69543
reveal.js,hakimel,2011-06-07T18:54:22Z,2025-08-11T19:41:18Z,JavaScript,409,49,770,1690,69395
grafana,grafana,2013-12-11T15:59:56Z,2025-08-11T19:58:06Z,TypeScript,56467,545,3461,37355,69391
awesome-react,enaqx,2014-08-06T05:31:44Z,2025-08-11T17:28:32Z,None,780,0,4,109,69326
awesome-machine-learning,josephmisiti,2014-07-15T19:11:19Z,2025-08-11T19:47:42Z,Python,868,0,1,91,69269
PayloadsAllTheThings,swisskyrepo,2016-10-18T07:29:07Z,2025-08-11T20:04:15Z,Python,542,5,0,0,69114
gpt_academic,binary-husky,2023-03-20T09:05:13Z,2025-08-11T16:37:17Z,Python,223,32,262,1478,69083
strapi,strapi,2015-09-30T15:34:48Z,2025-08-11T20:01:48Z,TypeScript,9108,476,986,10159,68996
swift,swiftlang,2015-10-23T21:15:07Z,2025-08-11T18:52:31Z,C++,55295,60,7330,9406,68942
tesseract,tesseract-ocr,2014-08-12T18:04:59Z,2025-08-11T20:02:03Z,C++,1410,34,423,2301,68760
protobuf,protocolbuffers,2014-08-26T15:52:15Z,2025-08-11T19:45:27Z,C++,7742,194,234,6401,68758
gemini-cli,google-gemini,2025-04-17T17:04:31Z,2025-08-11T20:04:07Z,TypeScript,1700,37,1464,1678,68693
node,base,2023-02-01T13:55:02Z,2025-08-09T21:25:08Z,Go,185,54,54,184,68452
cpython,python,2017-02-10T19:23:51Z,2025-08-11T18:05:07Z,Python,52622,0,7253,65971,68296
sherlock,sherlock-project,2018-12-24T14:30:48Z,2025-08-11T20:00:16Z,Python,642,1,104,970,67935
superset,apache,2015-07-21T18:55:34Z,2025-08-11T20:02:11Z,TypeScript,14763,231,471,11126,67518
imgui,ocornut,2014-07-21T14:29:47Z,2025-08-11T19:29:17Z,C++,405,113,1009,5515,67506
express,expressjs,2009-06-26T18:56:01Z,2025-08-11T19:17:06Z,JavaScript,457,160,104,3885,67497
browser-use,browser-use,2024-10-31T16:00:56Z,2025-08-11T19:33:51Z,Python,938,71,503,537,67377
openai-cookbook,openai,2022-03-11T02:08:53Z,2025-08-11T19:55:01Z,Jupyter Notebook,845,0,38,551,66871
new-pac,Alvin9999,2016-03-23T08:43:36Z,2025-08-11T20:03:12Z,Python,0,0,434,1330,66730
Chart.js,chartjs,2013-03-17T23:56:36Z,2025-08-11T17:24:32Z,JavaScript,3002,116,461,6804,66351
